"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"CBS",0.251435664115737,0.441546304553795,0.197687317822764,0.30322095195893,0.138732828958264,0.331435842116806,0.2087884455941,0.146251100737001,0.202500382572696,0.0868821852047854,0.28659207340506,0.500190239501633,-0.0265646736732887,0.309621327766089,-0.320021646712921,0.383558540677941,0.231945408228594,0.584031513285907,0.57511676848417,0.303908295369074,0.220908846811651,0.0299690323131693,0.456156612697256,0.560756475926809,0.116661184972686
"CDKN2A",-0.0943674958998064,-0.223274182336876,-0.193049257555908,-0.329323487553445,-0.21489320993876,-0.334877115395108,-0.252948462141149,0.0949223199826325,-0.0993125576114232,0.052330949709153,-0.0657876984554732,-0.251645845128967,-0.0476351975649504,-0.255510048950904,0.117484098945717,-0.438592699176475,-0.115974005432521,-0.475466531479258,-0.489096352398249,-0.336345307866201,-0.161390088760226,-0.0750790541634768,-0.138106138260533,-0.232760175573095,-0.227279155446608
"IGF2BP3",-0.19448631321777,-0.340854346957363,-0.264733635439936,-0.407053064682978,-0.294821147906832,-0.417586173674216,-0.331203774282621,-0.0660969356403113,-0.189053553110936,-0.044760247127745,-0.206114328520633,-0.404525499644105,-0.0948138713601968,-0.378853348515277,0.161115005586181,-0.435439565116167,-0.196727058817868,-0.501478338111675,-0.604514760847883,-0.403305084543963,-0.229873630726639,-0.197599886619075,-0.362602206872512,-0.323201023833567,-0.258078267812038
"ASL",0.251555550501911,0.373098598142437,0.167240545167178,0.299495113474873,0.158034895308265,0.287443879748708,0.184435974536593,0.11257976233826,0.130966178205098,0.134856591883971,0.301447255403163,0.502943911027318,-0.0383319254331509,0.283306188129425,-0.280339746784922,0.382775460385679,0.20393942557995,0.563620928587297,0.597837242375973,0.273670663779987,0.212352765768393,0.0754125542482679,0.446407403185934,0.488713766738878,0.10337990326193
"CYP2E1",0.267331897960012,0.462209735399992,0.305254606339272,0.393242832412157,0.282504034754013,0.411316493535296,0.321925258542971,0.153918948321214,0.288194365717135,0.218024064960101,0.276498696156874,0.486805517988744,0.0652953422381707,0.370333639141566,-0.16293452114151,0.426341614172462,0.257402853043935,0.567837317559049,0.552011867008075,0.457909566330615,0.332429617433227,0.108797200202224,0.286773382910862,0.468726181801396,0.25036120929468
"NR4A1",0.389462409827003,0.5232292994145,0.29097009698565,0.417306769512167,0.300049571854226,0.383167692170347,0.304494358459331,0.318373360546963,0.316383236206736,0.281212328903267,0.49470131854079,0.433978992094716,0.275577454330971,0.434618401330695,-0.0954362409389991,0.358255583648213,0.515689826127464,0.402712952784406,0.546201677824005,0.380068882411794,0.322766833246399,0.275001119204811,0.538424608286652,0.368009493444381,0.215419716052637
"SQSTM1",-0.285759768825957,-0.413652170843141,-0.271143562238108,-0.36116029841409,-0.273320729016787,-0.281774472733097,-0.221757889104859,-0.155334830736042,-0.198298461291571,-0.199952555864143,-0.350503204482027,-0.357541787799027,-0.0783583950552538,-0.440895304067853,0.0646641182732527,-0.307917292938733,-0.247016864193101,-0.371914187264172,-0.364254570117447,-0.316002479509807,-0.225268358064499,-0.216194795950253,-0.338147894505855,-0.30447479185778,-0.181339544635898
"ALB",0.305441438295876,0.552975637257206,0.174991483831468,0.371104768896489,0.23777070882925,0.335814602165699,0.243535927070719,0.32356305049784,0.294402341155466,0.307677343913045,0.479221660170756,0.37649107487103,0.0677856190737092,0.389735955449433,-0.276044649439233,0.226635603345053,0.320818065622063,0.404508840115669,0.397238697844082,0.335355890114342,0.299042941172829,0.158744742633394,0.464361775232279,0.440102733262294,0.172303325427364
"DHODH",0.303965950307658,0.46486366761161,0.305793796246343,0.422334898812198,0.320592941911831,0.421838587561859,0.341001434351763,0.193791566338251,0.366321774525525,0.220261887137777,0.358524163204545,0.385355915391339,0.105420806006169,0.358217768113621,-0.140981241654266,0.48515484168583,0.346673061538352,0.609893556589125,0.67766810081485,0.415957650059858,0.340054780604382,0.0957663710140311,0.477030205288234,0.523206034545719,0.247699111877844
"SLC38A2",0.202079102343191,0.416370949871454,0.335675906422043,0.400634870508843,0.326919090472498,0.440157624801914,0.391866424044769,0.124030308921005,0.294277402721716,0.217547418174408,0.300783446385165,0.267592847546307,0.15803034219665,0.285917038710832,-0.0278172454591023,0.512242373683665,0.311380457084185,0.549968570357053,0.610829217156581,0.441462472190126,0.379967519744058,0.139041795732618,0.321118289682152,0.382008308359901,0.282749538862368
